MICROCHIP #,Pet,DOG/CAT,BREED,Lenghth (in),Width(in),Height(in),Airline ,3L code,AWB,Weight (kg),Weight (lbs),FROM,VIA,TO,,,,,,,,,,,
977-200-010-340-725,Maki,DOG,Labrador Retriever,48,32,35,British Airways (BA),125,125-19003445,39,85,ATL ,,LHR,,,,,,,,,,,
977-200-009-989-329,Kima,DOG,Labrador Retriever,48,32,35,British Airways (BA),125,125-19003445,28,61,ATL ,,LHR,,,,,,,,,,,
956-000-014-246-727,Rooney,DOG,Golden Retriever,48,32,35,British Airways (BA),125,125-19003423,33,72,ORD ,LHR,HYD,,,,,,,,,,,
985-141-006-464-605,Noodle,DOG,Goldeen Noodle,52,31,39,Lufthansa Cargo (LH),020,020-26751056,23,50,ORD ,FRA,DEL ,,,,,,,,,,,
981-020-049-309-057,Patch,DOG,Golden Noodle,48,32,35,KLM,074,074-49007884,18,39,SFO,AMS,BLR,,,,,,,,,,,
900-255-000-583-975,Hachiko,DOG,Golden Retriever,40,27,30,British Airways (BA),125,125-13434610,27,59,ORD ,LHR ,DEL ,,,,,,,,,,,
981-020-047-627-369,Norah,DOG,Great Dane,56,31,38,Northern Air Cargo,345,345-38035141,50,110,MIA ,,SJU,,,,,,,,,,,
981-020-059-027-430,Henry,DOG,Mixed,36,25,27,Northern Air Cargo,345,345-38035141,28,62,MIA ,,SJU,,,,,,,,,,,
941-000-030-107-783,Gucci,DOG,American Bulldog,40,27,30,Lufthansa Cargo (LH),020,020-49077523,25,55,LAX,AMS ,OTP,,,,,,,,,,,
985-141-007-811-686,Quincy,DOG,Shep/Lab Mix,48,32,35,Lufthansa Cargo (LH),020,020-26751012,23,50,IAD ,,FRA,,,,,,,,,,,
985-112-012-451-736,Evee,DOG,Husky,49,32,35,Lufthansa Cargo (LH),020,020-20736413,23,51,ATL,,FRA,,,,,,,,,,,
985-141-005-997-451,Pebbles,DOG,Argentine Dogo,48,32,35,Northern Air Cargo,345,345-38019380,24,53,MIA ,,SJU,,,,,,,,,,,
985-141-007-068-442,Coquito,DOG,Argentine Dogo,48,32,35,Northern Air Cargo,345,345-38019380,45,99,MIA ,,SJU,,,,,,,,,,,
981-020-021-732-714,Sydney,DOG,Australian Shepherd,40,27,30,Lufthansa Cargo (LH),020,020-20736380,22,48,DEN,,00.0.,,,,,,,,,,,
981-020-023-638-314,Annie,DOG,Beagle,36,25,27,Lufthansa Cargo (LH),020,020-20736402,19,41,ATL,,FRA,,,,,,,,,,,
985-113-006-154-218,Maggie,DOG,Mixed,40,27,30,Lufthansa Cargo (LH),020,020-20736402,20,43,ATL,,FRA,,,,,,,,,,,
941-000-028-453-845,Rhino,DOG,French Bulldog,32,22,23,THY-Turkish Airlines,235,235-85456895,19,41,SFO,IST,MNL,,,,,,,,,,,
941-000-028-454-022,Skye,DOG,French Bulldog,32,22,23,THY-Turkish Airlines,235,235-85456895,14,31,SFO,IST,MNL,,,,,,,,,,,
643-099-200-024-949,Kuzya,CAT,Domestic Shorthair,28,21,21,American Airlines Cargo,001,001-71128901,4,8,LAX,MIA,EZE,,,,,,,,,,,
900-219-002-156-785,Kumar,CAT,Domestic Shorthair,28,21,21,American Airlines Cargo,001,001-71128901,6,12,LAX,MIA,EZE,,,,,,,,,,,
900-219-002-156-773,Pipa,CAT,Domestic Shorthair,28,21,21,American Airlines Cargo,001,001-71128901,3,6,LAX,MIA,EZE,,,,,,,,,,,
933-000-320-435-040,Molly,DOG,Bichon Frise,28,21,21,Emirates,176,176-3404494,5,10,IAH,DXB,BAH,,,,,,,,,,,
981-020-059-229-342,George,DOG,Bulldog English,40,27,30,Lufthansa Cargo (LH),020,020-20736424,22,48,IAD,FRA,BUD,,,,,,,,,,,
985-113-006-415-465,Chilly Ann,DOG,American Bulldog,40,27,30,Northern Air Cargo,345,345-3479 8142,28,62,MIA,,SJU,,,,,,,,,,,
941-000-022-933-322,Yuki,DOG,American Shorthair,28,21,21,Emirates,176,176-76652343,5,11,IAH,,DXB,,,,,,,,,,,
956-000014-231-876,Ramen,DOG,Schnoodle,32,22,23,Qatar Airways,157,157-69593602,4,10,ATL,DOH,RUH,,,,,,,,,,,
981-020-051-603-507,Simba,DOG,Labrador,45,26,34,Qatar Airways,157,157-69593591,26,57,LAX,AMS,BLR,,,,,,,,,,,
933-082-603-082-191,Remi,DOG,Cocker Spaniel,48,32,35,British Airways (BA),125,125-13430616,19,43,BNA,,LHR,,,,,,,,,,,
985-112-009-353-013,Luna Griffith,DOG,Pit Bull,48,32,35,Northern Air Cargo,345,345-34741232,31,69,MIA,PTY,LIM,,,,,,,,,,,
977-200-010-426-973,Money,DOG,Shih Tzu,28,21,21,KLM,074,074-48684403,10,23,JFK,,DXB,,,,,,,,,,,
985-112-010-155-161,Misty,DOG,German Shepherd,48,32,33,Qatar Airways,157,157-69593576,39,85,ATL,AMS,BLR,,,,,,,,,,,
900-235-000-188-057,Whiskey,DOG,Cockapoo,36,25,27,Qatar Airways,157,157-30861854,6,13,IAD,DOH,LOS,,,,,,,,,,,
985-170-000-423-900,Laila,DOG,Collie Mix,48,32,35,KLM-Air France,057,057-54864003,29,64,ATL ,CDG,MAD,,,,,,,,,,,
956-000-005-735-863,Izzy,DOG,Collie Mix,48,32,35,KLM-Air France,057,057-54864003,20,43,ATL ,CDG,MAD,,,,,,,,,,,
985-112-005-586-028,Truman,DOG,Collie Mix,48,32,35,KLM-Air France,057,057-54864003,31,68,ATL ,CDG,MAD,,,,,,,,,,,
956-000-017-683-903,Araya,DOG,Collie Mix,48,32,35,KLM-Air France,057,057-54864003,28,62,ATL ,CDG,MAD,,,,,,,,,,,
981-010-001-755-617,Buddy,DOG,Shih Tzu,28,21,21,KLM-Air France,057,057-54804094,8,19,IAD ,CDG ,GRU,,,,,,,,,,,
985-113-009-053-211,Lily,DOG,Golden Doodle,48,32,35,British Airways (BA),125,125-19003456,27,60,ORD,LHR,BLR,,,,,,,,,,,
100-237-000-100-888,Bonny,DOG,Mixed,32,22,23,British Airways (BA),125,125-13430502,16,34,PIT,LHR,EDI,,,,,,,,,,,
981-020-055-105-931,Panther,CAT,Domestic Shorthair,28,21,21,British Airways (BA),125,125-13430502,7,15,PIT,LHR,EDI,,,,,,,,,,,
981-020-057-891-630,Luna,CAT,Siamese Mix,28,21,21,Qatar Airways,157,157-30861843,4,9,SFO,DOH,RUH,,,,,,,,,,,
981-020-057-869-273,Solis,CAT,Siamese Mix,28,21,21,Qatar Airways,157,157-30861843,6,13,SFO,DOH,RUH,,,,,,,,,,,
