airline_name,origin_code,origin_city,destination_code,dest_city,dest_country,min,nominal,45_plus,100_plus
Lufthansa,AMS,Amsterdam,CDG,Paris,France,277,90,49.69,112.69
United Airlines,DXB,Dubai,JFK,New York,USA,359,91,80.68,143.28
Qatar Airways,YYZ,Toronto,ORD,Chicago,USA,730,60,41.96,149.15
Singapore Airlines,SIN,Singapore,DOH,Doha,Qatar,629,63,17.3,129.15
Qatar Airways,LAX,Los Angeles,AMS,Amsterdam,Netherlands,506,62,55.82,111.28
Singapore Airlines,YYZ,Toronto,IST,Istanbul,Turkey,653,80,13.11,121.51
American Airlines,DEL,Delhi,IST,Istanbul,Turkey,528,66,9.78,144.48
Qatar Airways,ICN,Seoul,LAX,Los Angeles,USA,510,89,66.87,148.91
United Airlines,IST,Istanbul,BKK,Bangkok,Thailand,662,93,61.21,109.98
Emirates,SIN,Singapore,PEK,Beijing,China,269,82,29.67,135.71
Turkish Airlines,CDG,Paris,DOH,Doha,Qatar,508,80,16.6,115.89
Air France,CDG,Paris,SYD,Sydney,Australia,516,59,44.56,131.99
Turkish Airlines,DEL,Delhi,ICN,Seoul,South Korea,447,75,76.72,135.95
Turkish Airlines,PEK,Beijing,JFK,New York,USA,523,70,3.58,114.01
Qatar Airways,SIN,Singapore,SYD,Sydney,Australia,684,73,58.13,107.56
Qatar Airways,SIN,Singapore,ORD,Chicago,USA,609,84,7.18,127.89
Air France,IST,Istanbul,HKG,Hong Kong,China,579,57,27.54,112.3
Singapore Airlines,FRA,Frankfurt,LHR,London,UK,370,81,40.11,141.07
United Airlines,ORD,Chicago,IST,Istanbul,Turkey,545,72,26.6,126.14
American Airlines,HND,Tokyo,AMS,Amsterdam,Netherlands,620,58,30.7,105.92
British Airways,PEK,Beijing,LAX,Los Angeles,USA,688,62,48.07,124.57
Air France,LHR,London,DOH,Doha,Qatar,308,93,63.18,106.61
Lufthansa,HND,Tokyo,DOH,Doha,Qatar,267,76,51.63,143.42
Delta Airlines,BOM,Mumbai,ORD,Chicago,USA,539,59,26.36,133.33
Turkish Airlines,LAX,Los Angeles,DXB,Dubai,UAE,751,74,5.87,119.42
Qatar Airways,CDG,Paris,ICN,Seoul,South Korea,733,86,89.72,124.03
United Airlines,AMS,Amsterdam,SYD,Sydney,Australia,663,84,13.06,108.39
United Airlines,LAX,Los Angeles,SIN,Singapore,Singapore,297,99,66.34,145.98
British Airways,HKG,Hong Kong,PEK,Beijing,China,622,56,74.16,104.36
Lufthansa,LHR,London,DXB,Dubai,UAE,726,91,54.21,138.06
Qatar Airways,AMS,Amsterdam,DXB,Dubai,UAE,460,72,90.47,140.69
British Airways,IST,Istanbul,DEL,New Delhi,India,603,57,22.74,106.87
Qatar Airways,FRA,Frankfurt,LHR,London,UK,354,100,16.24,140.9
American Airlines,ICN,Seoul,JFK,New York,USA,407,52,96.39,113.68
Emirates,HKG,Hong Kong,CDG,Paris,France,338,73,56.52,109.55
Delta Airlines,BKK,Bangkok,IST,Istanbul,Turkey,543,93,76.13,127.22
Delta Airlines,DOH,Doha,LAX,Los Angeles,USA,672,57,54.67,144.89
Turkish Airlines,HND,Tokyo,DXB,Dubai,UAE,666,100,21.6,120.77
Air France,HKG,Hong Kong,IST,Istanbul,Turkey,559,83,90.13,128.46
Qatar Airways,ICN,Seoul,LHR,London,UK,477,83,0.7,117.01
American Airlines,BKK,Bangkok,HND,Tokyo,Japan,644,65,68.67,139.32
Air France,HND,Tokyo,LAX,Los Angeles,USA,787,94,21.83,100.19
Lufthansa,SIN,Singapore,CDG,Paris,France,346,85,98.55,122.21
Singapore Airlines,LHR,London,JFK,New York,USA,628,57,82.06,146.02
Emirates,SIN,Singapore,JFK,New York,USA,564,88,4.27,105.34
British Airways,YYZ,Toronto,ORD,Chicago,USA,351,64,83.14,125.01
Singapore Airlines,HND,Tokyo,SYD,Sydney,Australia,761,61,2.25,123.23
Delta Airlines,SIN,Singapore,LAX,Los Angeles,USA,660,86,90.79,134.84
Qatar Airways,YYZ,Toronto,BOM,Mumbai,India,345,71,96.83,112.17
Turkish Airlines,PEK,Beijing,AMS,Amsterdam,Netherlands,404,81,76.24,111.7
Air India,SFO,San Francisco,HYD,Hyderabad,India,644,87,54.21,138.06
Delta Airlines,JFK,New York,HYD,Hyderabad,India,787,56,90.47,140.69
Turkish Airlines,ORD,Chicago,DEL,New Delhi,India,346,91,22.74,106.87
American Airlines,ATL,Atlanta,HYD,Hyderabad,India,628,72,16.24,140.9
American Airlines,DFW,Dallas,BOM,Mumbai,India,564,57,96.39,113.68
Lufthansa,DFW,Dallas,MAA,Chennai,India,351,100,56.52,109.55
Lufthansa,DFW,Dallas,BOM,Mumbai,India,761,52,76.13,127.22
Lufthansa,JFK,New York,DEL,New Delhi,India,543,73,90.47,144.89
Qatar Airways,LAX,Los Angeles,MAA,Chennai,India,672,93,22.74,120.77
Qatar Airways,SFO,San Francisco,MAA,Chennai,India,666,57,16.24,140.69
